appid,name,price
10,Counter-Strike,7.19
20,Team Fortress Classic,3.99
30,Day of Defeat,3.99
40,Deathmatch Classic,3.99
50,Half-Life: Opposing Force,3.99
60,Ricochet,3.99
70,Half-Life,7.19
80,Counter-Strike: Condition Zero,7.19
130,Half-Life: Blue Shift,3.99
220,Half-Life 2,7.19
240,Counter-Strike: Source,7.19
280,Half-Life: Source,0.0
300,Day of Defeat: Source,7.19
320,Half-Life 2: Deathmatch,3.99
340,Half-Life 2: Lost Coast,0.0
360,Half-Life Deathmatch: Source,0.0
380,Half-Life 2: Episode One,5.79
400,Portal,7.19
420,Half-Life 2: Episode Two,5.79
440,Team Fortress 2,0.0
500,Left 4 Dead,7.19
550,Left 4 Dead 2,7.19
570,Dota 2,0.0
620,Portal 2,7.19
630,Alien Swarm,0.0
730,Counter-Strike: Global Offensive,0.0
1002,Rag Doll Kung Fu,5.99
1200,Red Orchestra: Ostfront 41-45,3.99
1250,Killing Floor,14.99
1300,SiN Episodes: Emergence,7.19
1500,Darwinia,7.19
1510,Uplink,6.99
1520,DEFCON,7.19
1530,Multiwinia,7.19
1600,Dangerous Waters,22.99
1610,Space Empires IV Deluxe,6.99
1630,Disciples II: Rise of the Elves ,4.99
1640,Disciples II: Gallean's Return,4.99
1670,Iron Warriors: T - 72 Tank Command ,3.99
1690,Space Empires V,10.99
1700,Arx Fatalis,2.99
1840,Source Filmmaker,0.0
1900,Earth 2160,3.99
1930,Two Worlds Epic Edition,6.99
2100,Dark Messiah of Might & Magic,4.29
2200,Quake III Arena,12.99
2210,Quake IV,12.99
2270,Wolfenstein 3D,2.99
2280,Ultimate Doom,3.99
2290,Final DOOM,3.99
2300,DOOM II,3.99
2310,QUAKE,3.99
2320,QUAKE II,3.99
2330,QUAKE II Mission Pack: The Reckoning,2.49
2340,QUAKE II Mission Pack: Ground Zero,2.49
2350,QUAKE III: Team Arena,12.99
2360,HeXen: Beyond Heretic,2.99
2370,HeXen: Deathkings of the Dark Citadel,2.99
2390,Heretic: Shadow of the Serpent Riders,2.99
2400,The Ship: Murder Party,0.0
2450,Bloody Good Time,4.29
2500,Shadowgrounds,3.99
2520,Gumboy - Crazy Adventures™,0.0
2590,Alpha Prime,2.99
2600,Vampire: The Masquerade - Bloodlines,14.99
2610,GUN™,9.99
2620,Call of Duty®,14.99
2630,Call of Duty® 2,14.99
2640,Call of Duty: United Offensive,14.99
2710,Act of War: Direct Action,1.99
2720,ThreadSpace: Hyperbol,3.99
2780,ARMA: Combat Operations,5.99
2800,X2: The Threat,4.99
2810,X3: Reunion,9.99
2820,X3: Terran Conflict,15.99
2840,X: Beyond the Frontier,3.49
2850,X: Tension,3.49
2870,X Rebirth,24.99
2900,688(I) Hunter/Killer,22.99
2910,Fleet Command,22.99
2920,Sub Command,22.99
2990,FlatOut 2™,5.99
3010,Xpand Rally,3.99
3020,Call of Juarez™,8.59
3050,Xpand Rally Xtreme,3.99
3130,Men of War: Red Tide,3.99
3170,King's Bounty: Armored Princess,7.99
3230,Genesis Rising,4.49
3260,Safecracker: The Ultimate Puzzle Adventure,4.49
3270,Painkiller Overdose,4.49
3330,Zuma Deluxe,4.25
3410,Heavy Weapon Deluxe,4.25
3480,Peggle Deluxe,4.25
3483,Peggle Extreme,0.0
3490,Venice Deluxe,4.25
3500,Mystery P.I.™ - The Lottery Ticket,4.25
3510,Amazing Adventures The Lost Tomb™,4.25
3520,Mystery P.I.™ - The Vegas Heist,4.25
3530,Amazing Adventures Around the World,4.25
3540,Peggle™ Nights,4.25
